"author","coauthors"
"Dominique Makowski","Daniel Lüdecke"
"Dominique Makowski","Mattan S. Ben-Shachar"
"Dominique Makowski","Indrajeet Patil"
"Dominique Makowski","Philip D. Waggoner"
"Dominique Makowski","Sh Annabel Chen (陈圣馨）"
"Dominique Makowski","Lau Zen Juen"
"Dominique Makowski","Tam Pham"
"Dominique Makowski","Pascale Piolino"
"Dominique Makowski","Marco Sperduti"
"Dominique Makowski","Brenton M. Wiernik"
"Dominique Makowski","Rémi Thériault"
"Dominique Makowski","Serge Nicolas"
"Dominique Makowski","François Lespinasse"
"Dominique Makowski","Philippe Blondé"
"Dominique Makowski","Hung Pham"
"Dominique Makowski","Tiziana Zalla"
"Dominique Makowski","Stephane Lemaire"
"Dominique Makowski","An Shu Te"
"Dominique Makowski","Prany Wantzen"
"Dominique Makowski","Elizabeth Ford"
"Daniel Lüdecke","Dominique Makowski"
"Daniel Lüdecke","Mattan S. Ben-Shachar"
"Daniel Lüdecke","Indrajeet Patil"
"Daniel Lüdecke","Philip D. Waggoner"
"Daniel Lüdecke","Christopher Kofahl"
"Daniel Lüdecke","Brenton M. Wiernik"
"Daniel Lüdecke","Rémi Thériault"
"Daniel Lüdecke","Martin Härter"
"Daniel Lüdecke","Sh Annabel Chen (陈圣馨）"
"Daniel Lüdecke","Jan Broll"
"Daniel Lüdecke","Charlotte E. Wittekind"
"Daniel Lüdecke","Elizabeth Mestheneos"
"Daniel Lüdecke","Bernd Löwe"
"Daniel Lüdecke","Mirko Di Rosa"
"Daniel Lüdecke","Giovanni Lamura"
"Daniel Lüdecke","Maria Gabriella Melchiorre"
"Mattan S. Ben-Shachar","Dominique Makowski"
"Mattan S. Ben-Shachar","Daniel Lüdecke"
"Mattan S. Ben-Shachar","Indrajeet Patil"
"Mattan S. Ben-Shachar","Henrik Singmann"
"Mattan S. Ben-Shachar","Brenton M. Wiernik"
"Mattan S. Ben-Shachar","Rémi Thériault"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Tzlil Einziger"
